ReactionTime;Stimuli Onset Time;Stimuli Offset Time;Stimuli On Screen Time
0,9999992;1,02;1,519999;0,4999995
1,160004;7,039994;7,539994;0,4999995
1,100025;13,06011;13,56012;0,5000114
1,100025;19,08025;19,58026;0,5000114
1,040024;25,10038;25,6004;0,5000114
1,040024;31,12052;31,62053;0,5000114
1,260029;37,14066;37,64067;0,5000114
0;43,1608;43,66081;0,5000114
1,060024;49,18093;49,68095;0,5000114
1,480034;55,20107;55,70108;0,5000114
1,620037;61,22121;61,72122;0,5000114
1,379768;67,24073;67,74065;0,4999161

